source_name,model_name,candidate_id,feature_group,model,evaluation_level,split_regime,threshold_policy,threshold_source,threshold,n_candidate_thresholds,information_bits,status,notes
autoresearch_d3_final_reader_profile,AutoResearch_D3_FinalReaderProfile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,global_inner_cv_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
autoresearch_d3_final_reader_profile,AutoResearch_D3_FinalReaderProfile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,split_regime_inner_cv_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
autoresearch_d3_final_reader_profile,AutoResearch_D3_FinalReaderProfile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,calibration_set_threshold,calibration_set,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
autoresearch_d3_final_reader_profile,AutoResearch_D3_FinalReaderProfile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,cost_sensitive_balanced_accuracy_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
autoresearch_d3_final_reader_profile,AutoResearch_D3_FinalReaderProfile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,macro_f1_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
autoresearch_d3_final_reader_profile,AutoResearch_D3_FinalReaderProfile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,prevalence_prior_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,global_inner_cv_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,split_regime_inner_cv_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,calibration_set_threshold,calibration_set,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,cost_sensitive_balanced_accuracy_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,macro_f1_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,prevalence_prior_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader_and_text,global_inner_cv_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader_and_text,split_regime_inner_cv_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader_and_text,calibration_set_threshold,calibration_set,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader_and_text,cost_sensitive_balanced_accuracy_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader_and_text,macro_f1_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader_and_text,prevalence_prior_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,global_inner_cv_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,split_regime_inner_cv_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,calibration_set_threshold,calibration_set,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,cost_sensitive_balanced_accuracy_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,macro_f1_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,prevalence_prior_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader,global_inner_cv_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader,split_regime_inner_cv_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader,calibration_set_threshold,calibration_set,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader,cost_sensitive_balanced_accuracy_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader,macro_f1_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader,prevalence_prior_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader_and_text,global_inner_cv_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader_and_text,split_regime_inner_cv_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader_and_text,calibration_set_threshold,calibration_set,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader_and_text,cost_sensitive_balanced_accuracy_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader_and_text,macro_f1_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader_and_text,prevalence_prior_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_text,global_inner_cv_threshold,train_inner_cv,,0,,not_computed_missing_inner_validation_predictions,No train/inner-validation/calibration prediction rows were available; outer test labels were not used.
